Host Accession Number,left,right
1,86,99
2,131,199
3,195,133
4,128,167
5,192,211
6,212,278
7,451,474
8,323,312
9,394,305
10,222,270
11,603,356
12,209,278
27,252,202
28,295,341
46,474,539
47,236,230
13,402,162
14,252,324
15,321,266
16,264,239
17,225,192
18,181,210
19,475,434
20,259,194
21,184,209
22,303,358
23,159,253
24,152,143
25,162,152
26,451,363
29,361,281
35,334,284
36,398,502
37,223,250
38,273,253
39,351,283
40,473,327
41,311,294
42,372,353
43,224,256
50,315,293
30,345,257
31,278,417
32,477,462
33,259,227
34,373,389
44,589,586
45,452,413
48,73,119
49,352,395
