Date,Sample Accession Number,Individual Accession Number,Standard Length (mm),Total Length (mm),Sex,Weight (g)
19/10/1994,1,1,109,131,f,27
19/10/1994,1,2,102,124,f,24
19/10/1994,1,3,91,109,f,15
19/10/1994,1,4,107,124,m,25
19/10/1994,1,5,103,122,f,24
26/10/1994,2,6,92,111,m,17.5
26/10/1994,2,7,87,107,m,13
26/10/1994,2,8,105,126,f,26
26/10/1994,2,9,113,132,f,29
26/10/1994,2,10,103,121,m,25.5
26/10/1994,2,11,88,105,f,16
26/10/1994,2,12,97,116,f,20.5
26/10/1994,2,27,110,130,f,24.5
26/10/1994,2,28,98,116,f,21.5
26/10/1994,2,46,102,119,f,24
26/10/1994,2,47,111,132,f,28
01/12/1994,3,13,100,119,f,22
01/12/1994,3,14,104,124,f,23
01/12/1994,3,15,106,128,f,26
01/12/1994,3,16,109,129,f,28
01/12/1994,3,17,111,130,f,27
01/12/1994,3,18,104,125,f,25.5
01/12/1994,3,19,103,124,f,24.5
01/12/1994,3,20,102,124,f,25.5
01/12/1994,3,21,105,126,f,27
01/12/1994,3,22,109,131,f,28.5
01/12/1994,3,23,102,121,f,24
01/12/1994,3,24,105,126,f,25.5
01/12/1994,3,25,109,130,f,26.5
01/12/1994,3,26,105,122,f,24.5
31/01/1995,4,29,118,139,f,33
31/01/1995,4,35,114,135,f,31
31/01/1995,4,36,105,126,f,27
31/01/1995,4,37,100,120,f,27.5
31/01/1995,4,38,105,125,f,29
31/01/1995,4,39,107,128,f,27
31/01/1995,4,40,91,111,f,15
31/01/1995,4,41,104,116,f,26
31/01/1995,4,42,99,121,f,27.5
31/01/1995,4,43,106,125,f,28
31/01/1995,4,50,104,115,f,29
02/01/1995,5,30,102,120,f,24
02/01/1995,5,31,101,122,f,25
02/01/1995,5,32,95,117,f,21
02/01/1995,5,33,116,139,f,39
02/01/1995,5,34,106,127,f,27.5
02/01/1995,5,44,99,118,f,23
02/01/1995,5,45,109,130,m,26.5
02/01/1995,5,48,101,122,f,23
02/01/1995,5,49,110,132,f,30.5
